symbol,threshold,window,start,end,samples,signals,precision,recall,f1,auc,return_pct,profit_factor
CRV,0.6800000000000002,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,15,0.06666666666666667,0.3333333333333333,0.1111111111111111,0.7218813905930471,1.8703836169728858,1.9845401789852062
CRV,0.6800000000000002,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,4,0.0,0.0,0.0,0.7393162393162394,-1.7781332157913277,0.4094531800960223
CVX,0.7400000000000002,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,7,0.2857142857142857,0.15384615384615385,0.2,0.628456510809452,-0.6099654018521041,0.7760135685631312
CVX,0.7400000000000002,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,1,0.0,0.0,0.0,0.7658227848101266,-0.2895021846959043,0.0
CVX,0.7400000000000002,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,9,0.1111111111111111,0.0625,0.08,0.6543624161073824,1.065741327613008,1.4638247219443883
DASH,0.7100000000000002,1,2026-07-09 00:00:00,2026-07-15 19:00:00,164,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.7531645569620253,1.2803487961916744,1.6797510611537136
DASH,0.7100000000000002,2,2026-07-15 20:00:00,2026-07-22 15:00:00,164,1,0.0,0.0,0.0,0.6062893081761006,0.4269381912051354,inf
DASH,0.7100000000000002,3,2026-07-22 16:00:00,2026-07-29 10:00:00,163,4,0.0,0.0,0.0,0.8080808080808081,0.4670672847554012,3.6272875651130447
DOGE,0.6500000000000001,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,1,0.0,0.0,0.0,0.926829268292683,-0.5517067386446237,0.0
DOGE,0.6500000000000001,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,6,0.0,0.0,0.0,0.603658536585366,1.254845530132262,2.768652228012622
DOGE,0.6500000000000001,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,4,0.25,0.25,0.25,0.9767080745341615,1.7680161484529722,7.674739897333599
DOLO,0.7700000000000002,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,1,0.0,0.0,0.0,0.8765432098765432,0.7004318174772497,inf
DOLO,0.7700000000000002,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,1,0.0,0.0,0.0,0.5858041329739443,0.19088852243875487,inf
DOLO,0.7700000000000002,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,2,0.5,0.1111111111111111,0.18181818181818182,0.7051282051282052,0.7464436673654401,10.163097758107797
DOT,0.6900000000000002,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,3,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.871875,1.73881966216025,5.847707001052388
DOT,0.6900000000000002,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,2,0.0,0.0,0.0,0.5216049382716049,-0.23692331432556288,0.0
DOT,0.6900000000000002,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,3,0.0,0.0,0.0,0.84472049689441,-0.22834293060064612,0.572650546722534
DYDX,0.8600000000000003,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,0,0.0,0.0,0.0,0.7103752759381899,0.0,0.0
DYDX,0.8600000000000003,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,0,0.0,0.0,0.0,0.662037037037037,0.0,0.0
DYDX,0.8600000000000003,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,0,0.0,0.0,0.0,0.6497821350762527,0.0,0.0
EIGEN,0.8300000000000003,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,2,0.0,0.0,0.0,0.6463235294117647,0.5711713954701741,6.209919928212695
EIGEN,0.8300000000000003,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,1,1.0,0.06666666666666667,0.125,0.6918322295805739,1.8320139779052849,inf
EIGEN,0.8300000000000003,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,0,0.0,0.0,0.0,0.6534391534391534,0.0,0.0
ENA,0.7400000000000002,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,6,0.3333333333333333,0.25,0.2857142857142857,0.6669303797468354,1.5490741188127295,2.2426217569865483
ENA,0.7400000000000002,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,5,0.0,0.0,0.0,0.538961038961039,2.769296037394754,inf
ENA,0.7400000000000002,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,13,0.46153846153846156,0.35294117647058826,0.4,0.7941176470588236,10.146310329661757,5.148362606932173
ETH,0.5,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,5,0.2,0.2,0.2,0.7018633540372671,0.6804171705965936,1.8154713936558393
ETH,0.5,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,8,0.125,0.3333333333333333,0.18181818181818182,0.770961145194274,1.0252004960141892,2.0552540297420814
ETH,0.5,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,3,0.3333333333333333,0.25,0.2857142857142857,0.7748447204968945,2.1119692207414373,14.452264006654856
FARTCOIN,0.7800000000000002,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,4,0.25,0.07692307692307693,0.11764705882352941,0.7249874308697838,3.541086349805406,6.001399887663126
FARTCOIN,0.7800000000000002,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,6,0.16666666666666666,0.07142857142857142,0.1,0.7265037593984963,2.7220180076904827,9.714091856046764
FARTCOIN,0.7800000000000002,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,4,0.5,0.1111111111111111,0.18181818181818182,0.7392290249433106,5.813708721751526,44.24852739312216
FET,0.7800000000000002,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,0,0.0,0.0,0.0,0.5531250000000001,0.0,0.0
FET,0.7800000000000002,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,0,0.0,0.0,0.0,0.8016359918200409,0.0,0.0
FET,0.7800000000000002,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,3,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.8084200567644276,-0.33622222384159933,0.805094620235238
FIL,0.6700000000000002,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,3,0.0,0.0,0.0,0.577717879604672,-0.3177141260618314,0.5450642295801438
FIL,0.6700000000000002,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,6,0.0,0.0,0.0,0.6869565217391305,0.31852573480336266,1.2578237570060828
FIL,0.6700000000000002,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,10,0.2,0.2857142857142857,0.23529411764705882,0.8481012658227848,3.6492658183449738,3.7906405160038323
FLOKI,0.7300000000000002,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,1,0.0,0.0,0.0,0.6311728395061729,-0.189281777317156,0.0
FLOKI,0.7300000000000002,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,1,1.0,0.5,0.6666666666666666,0.9847560975609756,0.8871551139480751,inf
FLOKI,0.7300000000000002,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,2,0.0,0.0,0.0,0.8256369426751593,0.3896924040255017,2.9991384058825616
GLV [ETH-USDC],0.5,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,2,0.0,0.0,0.0,,0.258768897994846,2.0862604277423826
GLV [ETH-USDC],0.5,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,5,0.0,0.0,0.0,,0.21607476479842525,1.6066826441429627
GLV [ETH-USDC],0.5,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,5,0.2,1.0,0.3333333333333333,0.9817073170731707,0.9895005860420371,2.9157072754556763
GMX,0.7100000000000002,1,2026-07-08 18:00:00,2026-07-15 15:00:00,166,10,0.2,0.25,0.2222222222222222,0.7460443037974683,2.6509944049367378,3.922031061591985
GMX,0.7100000000000002,2,2026-07-15 16:00:00,2026-07-22 13:00:00,166,2,0.0,0.0,0.0,0.6673076923076923,0.599998681492489,5.164071560127139
GMX,0.7100000000000002,3,2026-07-22 14:00:00,2026-07-29 10:00:00,165,19,0.2631578947368421,0.22727272727272727,0.24390243902439024,0.6913541004450096,3.9144198170424347,1.7092500945783717
